"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRICE RECEIVED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","1.79",""
"SURVEY","2024","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRICE RECEIVED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","3.3",""
"SURVEY","2024","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRICE RECEIVED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","4.61",""
"SURVEY","2024","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRICE RECEIVED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","2.3",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRICE RECEIVED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","2.01",""
"SURVEY","2024","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRICE RECEIVED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","2.36",""
"SURVEY","2024","JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRICE RECEIVED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","1.99",""
"SURVEY","2024","MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRICE RECEIVED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","2.15",""
"SURVEY","2024","MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRICE RECEIVED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","1.53",""
"SURVEY","2024","NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRICE RECEIVED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","3.22",""
"SURVEY","2024","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRICE RECEIVED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","2.72",""
"SURVEY","2024","SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRICE RECEIVED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","1.96",""
