"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2025","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, LAYERS - INVENTORY","TOTAL","NOT SPECIFIED","369,439,000",""
"SURVEY","2024","FIRST OF APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, LAYERS - INVENTORY","TOTAL","NOT SPECIFIED","379,491,000",""
"SURVEY","2024","FIRST OF AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, LAYERS - INVENTORY","TOTAL","NOT SPECIFIED","368,656,000",""
"SURVEY","2024","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, LAYERS - INVENTORY","TOTAL","NOT SPECIFIED","375,700,000",""
"SURVEY","2024","FIRST OF FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, LAYERS - INVENTORY","TOTAL","NOT SPECIFIED","375,776,000",""
"SURVEY","2024","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, LAYERS - INVENTORY","TOTAL","NOT SPECIFIED","378,726,000",""
"SURVEY","2024","FIRST OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, LAYERS - INVENTORY","TOTAL","NOT SPECIFIED","370,168,000",""
"SURVEY","2024","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, LAYERS - INVENTORY","TOTAL","NOT SPECIFIED","371,382,000",""
"SURVEY","2024","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, LAYERS - INVENTORY","TOTAL","NOT SPECIFIED","378,435,000",""
"SURVEY","2024","FIRST OF MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, LAYERS - INVENTORY","TOTAL","NOT SPECIFIED","371,798,000",""
